# harmonic_dispersion_BaTiO3.csv - produced by scripts/parse_qe_phonons.py
# source: dft/qe/BaTiO3/dispersion/BaTiO3.freq (matdyn.x along Gamma-X-M-Gamma-R-X, q in 2*pi/a units)
# omega_cm1 < 0 denotes an imaginary (unstable) harmonic mode
path_index,qx,qy,qz,path_coord,segment,branch,omega_cm1,omega_thz
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,7,166.6942,4.997366
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,8,166.6942,4.997366
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,9,281.7230,8.445843
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,10,281.7230,8.445843
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,11,281.7500,8.446653
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,12,445.7637,13.363660
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,13,453.0273,13.581417
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,14,453.0273,13.581417
2,0.025000,0.000000,0.000000,0.025000,Gamma-X,15,629.4216,18.869585
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,1,-244.2601,-7.322734
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,2,-244.2601,-7.322734
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,3,13.9077,0.416942
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,4,13.9077,0.416942
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,5,21.5704,0.646664
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,6,158.8066,4.760902
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,7,166.8034,5.000640
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,8,166.8034,5.000640
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,9,282.0484,8.455598
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,10,282.0484,8.455598
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,11,282.1077,8.457376
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,12,446.2374,13.377861
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,13,452.8497,13.576092
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,14,452.8497,13.576092
3,0.037500,0.000000,0.000000,0.037500,Gamma-X,15,629.4936,18.871743
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,1,-243.8299,-7.309837
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,2,-243.8299,-7.309837
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,3,18.5065,0.554811
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,4,18.5065,0.554811
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,5,28.6078,0.857640
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,6,160.1007,4.799698
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,7,166.9574,5.005257
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,8,166.9574,5.005257
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,9,282.5016,8.469185
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,10,282.5016,8.469185
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,11,282.6035,8.472240
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,12,446.8955,13.397590
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,13,452.6014,13.568649
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,14,452.6014,13.568649
4,0.050000,0.000000,0.000000,0.050000,Gamma-X,15,629.5917,18.874684
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,1,-243.2838,-7.293465
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,2,-243.2838,-7.293465
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,3,23.0729,0.691708
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,4,23.0729,0.691708
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,5,35.5172,1.064779
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,6,161.7512,4.849179
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,7,167.1575,5.011256
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,8,167.1575,5.011256
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,9,283.0803,8.486534
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,10,283.0803,8.486534
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,11,283.2325,8.491097
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,12,447.7328,13.422692
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,13,452.2826,13.559091
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,14,452.2826,13.559091
5,0.062500,0.000000,0.000000,0.062500,Gamma-X,15,629.7147,18.878372
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,1,-242.6292,-7.273840
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,2,-242.6292,-7.273840
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,3,27.5979,0.827364
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,4,27.5979,0.827364
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,5,42.2703,1.267232
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,6,163.7479,4.909039
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,7,167.4050,5.018676
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,8,167.4050,5.018676
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,9,283.7816,8.507558
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,10,283.7816,8.507558
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,11,283.9884,8.513758
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,12,448.7430,13.452977
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,13,451.8939,13.547438
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,14,451.8939,13.547438
6,0.075000,0.000000,0.000000,0.075000,Gamma-X,15,629.8593,18.882707
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,1,-241.8733,-7.251179
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,2,-241.8733,-7.251179
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,3,32.0722,0.961500
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,4,32.0722,0.961500
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,5,48.8416,1.464234
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,6,166.0775,4.978878
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,7,167.7017,5.027570
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,8,167.7017,5.027570
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,9,284.6019,8.532150
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,10,284.6019,8.532150
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,11,284.8641,8.540011
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,12,449.9187,13.488223
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,13,451.4357,13.533702
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,14,451.4357,13.533702
7,0.087500,0.000000,0.000000,0.087500,Gamma-X,15,630.0221,18.887587
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,1,-241.0242,-7.225724
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,2,-241.0242,-7.225724
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,3,36.4858,1.093817
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,4,36.4858,1.093817
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,5,55.2087,1.655115
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,6,168.0495,5.037997
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,7,168.0495,5.037997
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,8,168.7239,5.058215
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,9,285.5373,8.560193
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,10,285.5373,8.560193
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,11,285.8513,8.569606
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,12,450.9089,13.517909
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,13,450.9089,13.517909
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,14,451.2517,13.528186
8,0.100000,0.000000,0.000000,0.100000,Gamma-X,15,630.1991,18.892894
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,1,-240.0913,-7.197756
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,2,-240.0913,-7.197756
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,3,40.8285,1.224008
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,4,40.8285,1.224008
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,5,61.3529,1.839314
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,6,168.4505,5.050019
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,7,168.4505,5.050019
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,8,171.6676,5.146465
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,9,286.5829,8.591539
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,10,286.5829,8.591539
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,11,286.9407,8.602266
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,12,450.3142,13.500080
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,13,450.3142,13.500080
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,14,452.7327,13.572585
9,0.112500,0.000000,0.000000,0.112500,Gamma-X,15,630.3860,18.898497
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,1,-239.0841,-7.167561
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,2,-239.0841,-7.167561
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,3,45.0894,1.351746
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,4,45.0894,1.351746
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,5,67.2594,2.016386
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,6,168.9068,5.063698
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,7,168.9068,5.063698
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,8,174.8859,5.242947
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,9,287.7336,8.626036
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,10,287.7336,8.626036
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,11,288.1225,8.637695
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,12,449.6528,13.480252
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,13,449.6528,13.480252
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,14,454.3523,13.621139
10,0.125000,0.000000,0.000000,0.125000,Gamma-X,15,630.5776,18.904241
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,1,-238.0130,-7.135450
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,2,-238.0130,-7.135450
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,3,49.2572,1.476694
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,4,49.2572,1.476694
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,5,72.9179,2.186024
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,6,169.4207,5.079105
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,7,169.4207,5.079105
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,8,178.3528,5.346882
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,9,288.9839,8.663519
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,10,288.9839,8.663519
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,11,289.3862,8.675580
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,12,448.9260,13.458463
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,13,448.9260,13.458463
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,14,456.1002,13.673540
11,0.137500,0.000000,0.000000,0.137500,Gamma-X,15,630.7685,18.909964
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,1,-236.8883,-7.101733
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,2,-236.8883,-7.101733
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,3,53.3204,1.598505
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,4,53.3204,1.598505
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,5,78.3223,2.348043
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,6,169.9941,5.096295
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,7,169.9941,5.096295
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,8,182.0397,5.457413
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,9,290.3275,8.703799
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,10,290.3275,8.703799
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,11,290.7208,8.715590
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,12,448.1352,13.434755
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,13,448.1352,13.434755
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,14,457.9669,13.729502
12,0.150000,0.000000,0.000000,0.150000,Gamma-X,15,630.9531,18.915498
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,1,-235.7215,-7.066753
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,2,-235.7215,-7.066753
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,3,57.2674,1.716833
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,4,57.2674,1.716833
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,5,83.4703,2.502377
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,6,170.6288,5.115323
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,7,170.6288,5.115323
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,8,185.9140,5.573562
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,9,291.7580,8.746685
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,10,291.7580,8.746685
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,11,292.1153,8.757396
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,12,447.2824,13.409189
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,13,447.2824,13.409189
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,14,459.9405,13.788669
13,0.162500,0.000000,0.000000,0.162500,Gamma-X,15,631.1251,18.920655
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,1,-234.5229,-7.030820
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,2,-234.5229,-7.030820
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,3,61.0867,1.831333
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,4,61.0867,1.831333
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,5,88.3633,2.649065
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,6,171.3261,5.136227
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,7,171.3261,5.136227
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,8,189.9423,5.694327
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,9,293.2684,8.791965
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,10,293.2684,8.791965
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,11,293.5582,8.800653
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,12,446.3696,13.381824
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,13,446.3696,13.381824
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,14,462.0110,13.850741
14,0.175000,0.000000,0.000000,0.175000,Gamma-X,15,631.2784,18.925250
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,1,-233.3030,-6.994248
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,2,-233.3030,-6.994248
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,3,64.7671,1.941669
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,4,64.7671,1.941669
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,5,93.0059,2.788247
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,6,172.0868,5.159032
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,7,172.0868,5.159032
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,8,194.0894,5.818654
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,9,294.8514,8.839423
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,10,294.8514,8.839423
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,11,295.0383,8.845026
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,12,445.3993,13.352735
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,13,445.3993,13.352735
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,14,464.1680,13.915407
15,0.187500,0.000000,0.000000,0.187500,Gamma-X,15,631.4067,18.929097
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,1,-232.0720,-6.957344
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,2,-232.0720,-6.957344
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,3,68.2980,2.047523
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,4,68.2980,2.047523
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,5,97.4043,2.920107
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,6,172.9107,5.183732
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,7,172.9107,5.183732
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,8,198.3181,5.945427
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,9,296.4994,8.888828
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,10,296.4994,8.888828
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,11,296.5444,8.890177
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,12,444.3744,13.322009
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,13,444.3744,13.322009
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,14,466.4011,13.982353
16,0.200000,0.000000,0.000000,0.200000,Gamma-X,15,631.5035,18.931999
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,1,-230.8397,-6.920400
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,2,-230.8397,-6.920400
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,3,71.6700,2.148613
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,4,71.6700,2.148613
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,5,101.5676,3.044920
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,6,173.7973,5.210312
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,7,173.7973,5.210312
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,8,202.5964,6.073687
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,9,298.0656,8.935782
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,10,298.2044,8.939943
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,11,298.2044,8.939943
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,12,443.2983,13.289749
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,13,443.2983,13.289749
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,14,468.7001,14.051276
17,0.212500,0.000000,0.000000,0.212500,Gamma-X,15,631.5635,18.933797
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,1,-229.6151,-6.883688
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,2,-229.6151,-6.883688
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,3,74.8746,2.244684
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,4,74.8746,2.244684
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,5,105.5043,3.162939
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,6,174.7444,5.238705
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,7,174.7444,5.238705
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,8,206.8881,6.202349
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,9,299.5914,8.981524
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,10,299.9581,8.992518
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,11,299.9581,8.992518
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,12,442.1751,13.256076
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,13,442.1751,13.256076
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,14,471.0547,14.121865
18,0.225000,0.000000,0.000000,0.225000,Gamma-X,15,631.5810,18.934322
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,1,-228.4067,-6.847461
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,2,-228.4067,-6.847461
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,3,77.9048,2.335527
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,4,77.9048,2.335527
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,5,109.2238,3.274447
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,6,175.7480,5.268792
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,7,175.7480,5.268792
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,8,211.1600,6.330418
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,9,301.1113,9.027090
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,10,301.7518,9.046291
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,11,301.7518,9.046291
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,12,441.0082,13.221093
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,13,441.0082,13.221093
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,14,473.4545,14.193809
19,0.237500,0.000000,0.000000,0.237500,Gamma-X,15,631.5506,18.933411
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,1,-227.2221,-6.811947
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,2,-227.2221,-6.811947
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,3,80.7553,2.420983
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,4,80.7553,2.420983
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,5,112.7350,3.379710
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,6,176.8037,5.300442
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,7,176.8037,5.300442
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,8,215.3812,6.456966
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,9,302.6158,9.072193
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,10,303.5765,9.100995
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,11,303.5765,9.100995
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,12,439.8029,13.184959
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,13,439.8029,13.184959
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,14,475.8892,14.266799
20,0.250000,0.000000,0.000000,0.250000,Gamma-X,15,631.4684,18.930946
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,1,-226.0685,-6.777363
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,2,-226.0685,-6.777363
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,3,83.4227,2.500950
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,4,83.4227,2.500950
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,5,116.0466,3.478990
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,6,177.9052,5.333464
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,7,177.9052,5.333464
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,8,219.5232,6.581140
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,9,304.0957,9.116560
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,10,305.4230,9.156351
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,11,305.4230,9.156351
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,12,438.5644,13.147830
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,13,438.5644,13.147830
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,14,478.3481,14.340515
21,0.262500,0.000000,0.000000,0.262500,Gamma-X,15,631.3309,18.926824
